ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
257266,2012,31,1/31/2012,20304,OO,5340,14771,SFO,San Francisco,CA,MFR,Medford,OR,2252,348,111,111,329,America/Los_Angeles,1.32808E+12,America/Los_Angeles,1.32801E+12,TRUE
743399,2012,31,1/31/2012,20304,OO,5340,14771,SFO,San Francisco,CA,MFR,Medford,OR,2252,348,111,111,329,America/Los_Angeles,1.32808E+12,America/Los_Angeles,1.32801E+12,TRUE
143643,2012,1,1/1/2012,20366,EV,4536,11042,CLE,Cleveland,OH,BOS,Boston,MA,2250,1042,111,111,563,America/New_York,1.32548E+12,America/New_York,1.32543E+12,TRUE
486118,2012,23,1/23/2012,20378,YV,2812,14107,PHX,Phoenix,AZ,FLG,Flagstaff,AZ,2250,111,111,111,119,America/Phoenix,1.32738E+12,America/Phoenix,1.32731E+12,TRUE
629776,2012,1,1/1/2012,20366,EV,4536,11042,CLE,Cleveland,OH,BOS,Boston,MA,2250,1042,111,111,563,America/New_York,1.32548E+12,America/New_York,1.32543E+12,TRUE
972251,2012,23,1/23/2012,20378,YV,2812,14107,PHX,Phoenix,AZ,FLG,Flagstaff,AZ,2250,111,111,111,119,America/Phoenix,1.32738E+12,America/Phoenix,1.32731E+12,TRUE
278847,2012,2,1/2/2012,20304,OO,6415,12892,LAX,Los Angeles,CA,SBP,San Luis Obispo,CA,2249,111,111,111,156,America/Los_Angeles,1.32557E+12,America/Los_Angeles,1.3255E+12,TRUE
764980,2012,2,1/2/2012,20304,OO,6415,12892,LAX,Los Angeles,CA,SBP,San Luis Obispo,CA,2249,111,111,111,156,America/Los_Angeles,1.32557E+12,America/Los_Angeles,1.3255E+12,TRUE
177262,2012,22,1/22/2012,20366,EV,5969,13930,ORD,Chicago,IL,ROA,Roanoke,VA,2244,111,111,111,531,America/Chicago,1.32729E+12,America/New_York,1.32721E+12,FALSE
663395,2012,22,1/22/2012,20366,EV,5969,13930,ORD,Chicago,IL,ROA,Roanoke,VA,2244,111,111,111,531,America/Chicago,1.32729E+12,America/New_York,1.32721E+12,FALSE
